,,Wk,Date,Time,Team,Opponent,Goals,HomeGround,Avg_Age,%FPla,OppGlsAgst90,AvgGoalsScored_90,GlsRatio,tablePos,points
2018,0,1.0,2018-03-24,14:00,Sandviken,Kolbotn,0,1,26.4,0.20999999999999996,2.0,1.0,0.699999988079071,9.0,18.0
2018,0,1.0,2018-03-24,14:00,Kolbotn,Sandviken,1,0,21.2,0.050000000000000044,1.5,0.800000011920929,0.4000000059604645,10.0,15.0
2018,1,1.0,2018-03-24,15:00,Klepp,Arna-Bjørnar,1,1,25.1,0.26,1.2999999523162842,1.5,1.399999976158142,4.0,40.0
2018,1,1.0,2018-03-24,15:00,Arna-Bjørnar,Klepp,2,0,21.9,0.09999999999999998,1.100000023841858,1.7999999523162842,1.399999976158142,6.0,35.0
2018,2,1.0,2018-03-24,15:00,Grand Bodø,Trondheims-Ørn,2,1,23.4,0.30000000000000004,1.600000023841858,1.399999976158142,0.4000000059604645,11.0,8.0
2018,2,1.0,2018-03-24,15:00,Trondheims-Ørn,Grand Bodø,1,0,21.8,0.0,3.5999999046325684,1.600000023841858,1.0,8.0,30.0
2018,3,1.0,2018-03-24,15:00,Røa,Lyn,1,1,22.7,0.040000000000000036,,1.899999976158142,1.5,5.0,37.0
2018,3,1.0,2018-03-24,15:00,Lyn,Røa,2,0,19.8,0.0,1.2999999523162842,,,,
2018,4,1.0,2018-03-24,17:00,Vålerenga,LSK Kvinner,0,1,25.6,0.22999999999999998,0.800000011920929,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,4,1.0,2018-03-24,17:00,LSK Kvinner,Vålerenga,5,0,24.1,0.21999999999999997,1.5,3.0999999046325684,3.799999952316284,1.0,59.0
2018,6,2.0,2018-03-28,19:00,Arna-Bjørnar,Grand Bodø,5,1,21.9,0.09999999999999998,3.5999999046325684,1.7999999523162842,1.399999976158142,6.0,35.0
2018,6,2.0,2018-03-28,19:00,Grand Bodø,Arna-Bjørnar,0,0,23.4,0.30000000000000004,1.2999999523162842,1.399999976158142,0.4000000059604645,11.0,8.0
2018,7,2.0,2018-03-29,15:00,LSK Kvinner,Sandviken,6,1,24.1,0.21999999999999997,1.5,3.0999999046325684,3.799999952316284,1.0,59.0
2018,7,2.0,2018-03-29,15:00,Sandviken,LSK Kvinner,0,0,26.4,0.20999999999999996,0.800000011920929,1.0,0.699999988079071,9.0,18.0
2018,8,2.0,2018-03-31,15:00,Trondheims-Ørn,Stabæk,1,1,21.8,0.0,1.0,1.600000023841858,1.0,8.0,30.0
2018,8,2.0,2018-03-31,15:00,Stabæk,Trondheims-Ørn,0,0,23.6,0.040000000000000036,1.600000023841858,2.0999999046325684,2.0,3.0,43.0
2018,10,3.0,2018-04-14,14:00,Klepp,Lyn,3,1,25.1,0.26,,1.5,1.399999976158142,4.0,40.0
2018,10,3.0,2018-04-14,14:00,Lyn,Klepp,2,0,19.8,0.0,1.100000023841858,,,,
2018,11,3.0,2018-04-14,15:00,Røa,LSK Kvinner,2,1,22.7,0.040000000000000036,0.800000011920929,1.899999976158142,1.5,5.0,37.0
2018,11,3.0,2018-04-14,15:00,LSK Kvinner,Røa,5,0,24.1,0.21999999999999997,1.2999999523162842,3.0999999046325684,3.799999952316284,1.0,59.0
2018,12,3.0,2018-04-14,15:00,Stabæk,Arna-Bjørnar,2,1,23.6,0.040000000000000036,1.2999999523162842,2.0999999046325684,2.0,3.0,43.0
2018,12,3.0,2018-04-14,15:00,Arna-Bjørnar,Stabæk,2,0,21.9,0.09999999999999998,1.0,1.7999999523162842,1.399999976158142,6.0,35.0
2018,13,3.0,2018-04-15,13:00,Sandviken,Trondheims-Ørn,3,1,26.4,0.20999999999999996,1.600000023841858,1.0,0.699999988079071,9.0,18.0
2018,13,3.0,2018-04-15,13:00,Trondheims-Ørn,Sandviken,1,0,21.8,0.0,1.5,1.600000023841858,1.0,8.0,30.0
2018,14,3.0,2018-04-15,14:00,Grand Bodø,Avaldsnes,0,1,23.4,0.30000000000000004,0.800000011920929,1.399999976158142,0.4000000059604645,11.0,8.0
2018,14,3.0,2018-04-15,14:00,Avaldsnes,Grand Bodø,1,0,24.0,0.43999999999999995,3.5999999046325684,2.299999952316284,3.0,2.0,48.0
2018,15,3.0,2018-04-15,15:00,Vålerenga,Kolbotn,2,1,25.6,0.22999999999999998,2.0,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,15,3.0,2018-04-15,15:00,Kolbotn,Vålerenga,3,0,21.2,0.050000000000000044,1.5,0.800000011920929,0.4000000059604645,10.0,15.0
2018,17,4.0,2018-04-21,13:00,Trondheims-Ørn,Røa,1,1,21.8,0.0,1.2999999523162842,1.600000023841858,1.0,8.0,30.0
2018,17,4.0,2018-04-21,13:00,Røa,Trondheims-Ørn,0,0,22.7,0.040000000000000036,1.600000023841858,1.899999976158142,1.5,5.0,37.0
2018,18,4.0,2018-04-21,15:00,LSK Kvinner,Stabæk,1,1,24.1,0.21999999999999997,1.0,3.0999999046325684,3.799999952316284,1.0,59.0
2018,18,4.0,2018-04-21,15:00,Stabæk,LSK Kvinner,0,0,23.6,0.040000000000000036,0.800000011920929,2.0999999046325684,2.0,3.0,43.0
2018,19,4.0,2018-04-21,15:00,Arna-Bjørnar,Sandviken,1,1,21.9,0.09999999999999998,1.5,1.7999999523162842,1.399999976158142,6.0,35.0
2018,19,4.0,2018-04-21,15:00,Sandviken,Arna-Bjørnar,2,0,26.4,0.20999999999999996,1.2999999523162842,1.0,0.699999988079071,9.0,18.0
2018,20,4.0,2018-04-22,12:30,Klepp,Grand Bodø,6,1,25.1,0.26,3.5999999046325684,1.5,1.399999976158142,4.0,40.0
2018,20,4.0,2018-04-22,12:30,Grand Bodø,Klepp,0,0,23.4,0.30000000000000004,1.100000023841858,1.399999976158142,0.4000000059604645,11.0,8.0
2018,21,4.0,2018-04-22,15:00,Avaldsnes,Vålerenga,0,1,24.0,0.43999999999999995,1.5,2.299999952316284,3.0,2.0,48.0
2018,21,4.0,2018-04-22,15:00,Vålerenga,Avaldsnes,3,0,25.6,0.22999999999999998,0.800000011920929,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,23,5.0,2018-04-28,15:00,Vålerenga,Stabæk,5,1,25.6,0.22999999999999998,1.0,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,23,5.0,2018-04-28,15:00,Stabæk,Vålerenga,0,0,23.6,0.040000000000000036,1.5,2.0999999046325684,2.0,3.0,43.0
2018,24,5.0,2018-04-28,15:00,Sandviken,Avaldsnes,1,1,26.4,0.20999999999999996,0.800000011920929,1.0,0.699999988079071,9.0,18.0
2018,24,5.0,2018-04-28,15:00,Avaldsnes,Sandviken,0,0,24.0,0.43999999999999995,1.5,2.299999952316284,3.0,2.0,48.0
2018,25,5.0,2018-04-28,15:00,Lyn,Arna-Bjørnar,2,1,19.8,0.0,1.2999999523162842,,,,
2018,25,5.0,2018-04-28,15:00,Arna-Bjørnar,Lyn,1,0,21.9,0.09999999999999998,,1.7999999523162842,1.399999976158142,6.0,35.0
2018,26,5.0,2018-04-29,14:00,Kolbotn,LSK Kvinner,0,1,21.2,0.050000000000000044,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,15.0
2018,26,5.0,2018-04-29,14:00,LSK Kvinner,Kolbotn,5,0,24.1,0.21999999999999997,2.0,3.0999999046325684,3.799999952316284,1.0,59.0
2018,27,5.0,2018-04-29,15:00,Trondheims-Ørn,Klepp,0,1,21.8,0.0,1.100000023841858,1.600000023841858,1.0,8.0,30.0
2018,27,5.0,2018-04-29,15:00,Klepp,Trondheims-Ørn,1,0,25.1,0.26,1.600000023841858,1.5,1.399999976158142,4.0,40.0
2018,28,5.0,2018-04-29,17:00,Røa,Grand Bodø,4,1,22.7,0.040000000000000036,3.5999999046325684,1.899999976158142,1.5,5.0,37.0
2018,28,5.0,2018-04-29,17:00,Grand Bodø,Røa,1,0,23.4,0.30000000000000004,1.2999999523162842,1.399999976158142,0.4000000059604645,11.0,8.0
2018,30,1.0,2018-05-01,14:00,Stabæk,Avaldsnes,4,1,23.6,0.040000000000000036,0.800000011920929,2.0999999046325684,2.0,3.0,43.0
2018,30,1.0,2018-05-01,14:00,Avaldsnes,Stabæk,2,0,24.0,0.43999999999999995,1.0,2.299999952316284,3.0,2.0,48.0
2018,32,2.0,2018-05-02,18:30,Lyn,Vålerenga,1,1,19.8,0.0,1.5,,,,
2018,32,2.0,2018-05-02,18:30,Vålerenga,Lyn,1,0,25.6,0.22999999999999998,,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,34,6.0,2018-05-05,15:00,Klepp,Vålerenga,3,1,25.1,0.26,1.5,1.5,1.399999976158142,4.0,40.0
2018,34,6.0,2018-05-05,15:00,Vålerenga,Klepp,0,0,25.6,0.22999999999999998,1.100000023841858,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,35,6.0,2018-05-05,15:00,LSK Kvinner,Trondheims-Ørn,5,1,24.1,0.21999999999999997,1.600000023841858,3.0999999046325684,3.799999952316284,1.0,59.0
2018,35,6.0,2018-05-05,15:00,Trondheims-Ørn,LSK Kvinner,0,0,21.8,0.0,0.800000011920929,1.600000023841858,1.0,8.0,30.0
2018,36,6.0,2018-05-05,15:00,Avaldsnes,Lyn,3,1,24.0,0.43999999999999995,,2.299999952316284,3.0,2.0,48.0
2018,36,6.0,2018-05-05,15:00,Lyn,Avaldsnes,0,0,19.8,0.0,0.800000011920929,,,,
2018,37,6.0,2018-05-05,16:00,Arna-Bjørnar,Kolbotn,1,1,21.9,0.09999999999999998,2.0,1.7999999523162842,1.399999976158142,6.0,35.0
2018,37,6.0,2018-05-05,16:00,Kolbotn,Arna-Bjørnar,1,0,21.2,0.050000000000000044,1.2999999523162842,0.800000011920929,0.4000000059604645,10.0,15.0
2018,38,6.0,2018-05-06,16:00,Grand Bodø,Sandviken,1,1,23.4,0.30000000000000004,1.5,1.399999976158142,0.4000000059604645,11.0,8.0
2018,38,6.0,2018-05-06,16:00,Sandviken,Grand Bodø,3,0,26.4,0.20999999999999996,3.5999999046325684,1.0,0.699999988079071,9.0,18.0
2018,39,6.0,2018-05-06,17:00,Stabæk,Røa,1,1,23.6,0.040000000000000036,1.2999999523162842,2.0999999046325684,2.0,3.0,43.0
2018,39,6.0,2018-05-06,17:00,Røa,Stabæk,3,0,22.7,0.040000000000000036,1.0,1.899999976158142,1.5,5.0,37.0
2018,41,7.0,2018-05-12,14:00,Røa,Avaldsnes,2,1,22.7,0.040000000000000036,0.800000011920929,1.899999976158142,1.5,5.0,37.0
2018,41,7.0,2018-05-12,14:00,Avaldsnes,Røa,0,0,24.0,0.43999999999999995,1.2999999523162842,2.299999952316284,3.0,2.0,48.0
2018,42,7.0,2018-05-12,14:00,Sandviken,Klepp,1,1,26.4,0.20999999999999996,1.100000023841858,1.0,0.699999988079071,9.0,18.0
2018,42,7.0,2018-05-12,14:00,Klepp,Sandviken,0,0,25.1,0.26,1.5,1.5,1.399999976158142,4.0,40.0
2018,43,7.0,2018-05-12,15:00,Lyn,LSK Kvinner,3,1,19.8,0.0,0.800000011920929,,,,
2018,43,7.0,2018-05-12,15:00,LSK Kvinner,Lyn,4,0,24.1,0.21999999999999997,,3.0999999046325684,3.799999952316284,1.0,59.0
2018,44,7.0,2018-05-12,18:30,Kolbotn,Stabæk,1,1,21.2,0.050000000000000044,1.0,0.800000011920929,0.4000000059604645,10.0,15.0
2018,44,7.0,2018-05-12,18:30,Stabæk,Kolbotn,1,0,23.6,0.040000000000000036,2.0,2.0999999046325684,2.0,3.0,43.0
2018,45,7.0,2018-05-13,14:00,Trondheims-Ørn,Arna-Bjørnar,2,1,21.8,0.0,1.2999999523162842,1.600000023841858,1.0,8.0,30.0
2018,45,7.0,2018-05-13,14:00,Arna-Bjørnar,Trondheims-Ørn,6,0,21.9,0.09999999999999998,1.600000023841858,1.7999999523162842,1.399999976158142,6.0,35.0
2018,46,7.0,2018-05-13,17:00,Vålerenga,Grand Bodø,3,1,25.6,0.22999999999999998,3.5999999046325684,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,46,7.0,2018-05-13,17:00,Grand Bodø,Vålerenga,2,0,23.4,0.30000000000000004,1.5,1.399999976158142,0.4000000059604645,11.0,8.0
2018,48,8.0,2018-05-19,14:00,Sandviken,Vålerenga,3,1,26.4,0.20999999999999996,1.5,1.0,0.699999988079071,9.0,18.0
2018,48,8.0,2018-05-19,14:00,Vålerenga,Sandviken,0,0,25.6,0.22999999999999998,1.5,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,49,8.0,2018-05-19,15:00,Avaldsnes,Trondheims-Ørn,2,1,24.0,0.43999999999999995,1.600000023841858,2.299999952316284,3.0,2.0,48.0
2018,49,8.0,2018-05-19,15:00,Trondheims-Ørn,Avaldsnes,0,0,21.8,0.0,0.800000011920929,1.600000023841858,1.0,8.0,30.0
2018,50,8.0,2018-05-19,15:00,Klepp,Røa,2,1,25.1,0.26,1.2999999523162842,1.5,1.399999976158142,4.0,40.0
2018,50,8.0,2018-05-19,15:00,Røa,Klepp,1,0,22.7,0.040000000000000036,1.100000023841858,1.899999976158142,1.5,5.0,37.0
2018,51,8.0,2018-05-19,15:00,Arna-Bjørnar,LSK Kvinner,0,1,21.9,0.09999999999999998,0.800000011920929,1.7999999523162842,1.399999976158142,6.0,35.0
2018,51,8.0,2018-05-19,15:00,LSK Kvinner,Arna-Bjørnar,1,0,24.1,0.21999999999999997,1.2999999523162842,3.0999999046325684,3.799999952316284,1.0,59.0
2018,52,8.0,2018-05-19,15:00,Stabæk,Lyn,5,1,23.6,0.040000000000000036,,2.0999999046325684,2.0,3.0,43.0
2018,52,8.0,2018-05-19,15:00,Lyn,Stabæk,0,0,19.8,0.0,1.0,,,,
2018,53,8.0,2018-05-20,14:00,Grand Bodø,Kolbotn,1,1,23.4,0.30000000000000004,2.0,1.399999976158142,0.4000000059604645,11.0,8.0
2018,53,8.0,2018-05-20,14:00,Kolbotn,Grand Bodø,2,0,21.2,0.050000000000000044,3.5999999046325684,0.800000011920929,0.4000000059604645,10.0,15.0
2018,55,9.0,2018-05-26,12:00,Røa,Arna-Bjørnar,2,1,22.7,0.040000000000000036,1.2999999523162842,1.899999976158142,1.5,5.0,37.0
2018,55,9.0,2018-05-26,12:00,Arna-Bjørnar,Røa,2,0,21.9,0.09999999999999998,1.2999999523162842,1.7999999523162842,1.399999976158142,6.0,35.0
2018,56,9.0,2018-05-26,14:30,Kolbotn,Klepp,3,1,21.2,0.050000000000000044,1.100000023841858,0.800000011920929,0.4000000059604645,10.0,15.0
2018,56,9.0,2018-05-26,14:30,Klepp,Kolbotn,1,0,25.1,0.26,2.0,1.5,1.399999976158142,4.0,40.0
2018,57,9.0,2018-05-26,17:00,Stabæk,Sandviken,0,1,23.6,0.040000000000000036,1.5,2.0999999046325684,2.0,3.0,43.0
2018,57,9.0,2018-05-26,17:00,Sandviken,Stabæk,1,0,26.4,0.20999999999999996,1.0,1.0,0.699999988079071,9.0,18.0
2018,58,9.0,2018-05-27,12:00,Lyn,Grand Bodø,2,1,19.8,0.0,3.5999999046325684,,,,
2018,58,9.0,2018-05-27,12:00,Grand Bodø,Lyn,1,0,23.4,0.30000000000000004,,1.399999976158142,0.4000000059604645,11.0,8.0
2018,59,9.0,2018-05-27,14:30,Vålerenga,Trondheims-Ørn,0,1,25.6,0.22999999999999998,1.600000023841858,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,59,9.0,2018-05-27,14:30,Trondheims-Ørn,Vålerenga,1,0,21.8,0.0,1.5,1.600000023841858,1.0,8.0,30.0
2018,60,9.0,2018-05-27,17:00,LSK Kvinner,Avaldsnes,4,1,24.1,0.21999999999999997,0.800000011920929,3.0999999046325684,3.799999952316284,1.0,59.0
2018,60,9.0,2018-05-27,17:00,Avaldsnes,LSK Kvinner,0,0,24.0,0.43999999999999995,0.800000011920929,2.299999952316284,3.0,2.0,48.0
2018,62,2.0,2018-06-04,18:00,Avaldsnes,Klepp,1,1,24.0,0.43999999999999995,1.100000023841858,2.299999952316284,3.0,2.0,48.0
2018,62,2.0,2018-06-04,18:00,Klepp,Avaldsnes,2,0,25.1,0.26,0.800000011920929,1.5,1.399999976158142,4.0,40.0
2018,64,10.0,2018-06-16,14:00,Sandviken,Lyn,6,1,26.4,0.20999999999999996,,1.0,0.699999988079071,9.0,18.0
2018,64,10.0,2018-06-16,14:00,Lyn,Sandviken,0,0,19.8,0.0,1.5,,,,
2018,65,10.0,2018-06-16,14:00,Trondheims-Ørn,Kolbotn,2,1,21.8,0.0,2.0,1.600000023841858,1.0,8.0,30.0
2018,65,10.0,2018-06-16,14:00,Kolbotn,Trondheims-Ørn,2,0,21.2,0.050000000000000044,1.600000023841858,0.800000011920929,0.4000000059604645,10.0,15.0
2018,66,10.0,2018-06-16,15:00,Avaldsnes,Arna-Bjørnar,1,1,24.0,0.43999999999999995,1.2999999523162842,2.299999952316284,3.0,2.0,48.0
2018,66,10.0,2018-06-16,15:00,Arna-Bjørnar,Avaldsnes,0,0,21.9,0.09999999999999998,0.800000011920929,1.7999999523162842,1.399999976158142,6.0,35.0
2018,67,10.0,2018-06-16,15:00,Vålerenga,Røa,2,1,25.6,0.22999999999999998,1.2999999523162842,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,67,10.0,2018-06-16,15:00,Røa,Vålerenga,1,0,22.7,0.040000000000000036,1.5,1.899999976158142,1.5,5.0,37.0
2018,68,10.0,2018-06-16,15:00,Grand Bodø,Stabæk,0,1,23.4,0.30000000000000004,1.0,1.399999976158142,0.4000000059604645,11.0,8.0
2018,68,10.0,2018-06-16,15:00,Stabæk,Grand Bodø,3,0,23.6,0.040000000000000036,3.5999999046325684,2.0999999046325684,2.0,3.0,43.0
2018,69,10.0,2018-06-16,15:00,Klepp,LSK Kvinner,0,1,25.1,0.26,0.800000011920929,1.5,1.399999976158142,4.0,40.0
2018,69,10.0,2018-06-16,15:00,LSK Kvinner,Klepp,2,0,24.1,0.21999999999999997,1.100000023841858,3.0999999046325684,3.799999952316284,1.0,59.0
2018,71,11.0,2018-06-23,14:00,Kolbotn,Avaldsnes,2,1,21.2,0.050000000000000044,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,15.0
2018,71,11.0,2018-06-23,14:00,Avaldsnes,Kolbotn,0,0,24.0,0.43999999999999995,2.0,2.299999952316284,3.0,2.0,48.0
2018,72,11.0,2018-06-23,14:00,Røa,Sandviken,3,1,22.7,0.040000000000000036,1.5,1.899999976158142,1.5,5.0,37.0
2018,72,11.0,2018-06-23,14:00,Sandviken,Røa,2,0,26.4,0.20999999999999996,1.2999999523162842,1.0,0.699999988079071,9.0,18.0
2018,73,11.0,2018-06-23,14:00,Stabæk,Klepp,0,1,23.6,0.040000000000000036,1.100000023841858,2.0999999046325684,2.0,3.0,43.0
2018,73,11.0,2018-06-23,14:00,Klepp,Stabæk,1,0,25.1,0.26,1.0,1.5,1.399999976158142,4.0,40.0
2018,74,11.0,2018-06-23,15:00,Lyn,Trondheims-Ørn,2,1,19.8,0.0,1.600000023841858,,,,
2018,74,11.0,2018-06-23,15:00,Trondheims-Ørn,Lyn,3,0,21.8,0.0,,1.600000023841858,1.0,8.0,30.0
2018,75,11.0,2018-06-23,15:00,Arna-Bjørnar,Vålerenga,3,1,21.9,0.09999999999999998,1.5,1.7999999523162842,1.399999976158142,6.0,35.0
2018,75,11.0,2018-06-23,15:00,Vålerenga,Arna-Bjørnar,2,0,25.6,0.22999999999999998,1.2999999523162842,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,76,11.0,2018-06-24,17:00,LSK Kvinner,Grand Bodø,2,1,24.1,0.21999999999999997,3.5999999046325684,3.0999999046325684,3.799999952316284,1.0,59.0
2018,76,11.0,2018-06-24,17:00,Grand Bodø,LSK Kvinner,0,0,23.4,0.30000000000000004,0.800000011920929,1.399999976158142,0.4000000059604645,11.0,8.0
2018,78,2.0,2018-06-27,18:00,Kolbotn,Røa,0,1,21.2,0.050000000000000044,1.2999999523162842,0.800000011920929,0.4000000059604645,10.0,15.0
2018,78,2.0,2018-06-27,18:00,Røa,Kolbotn,2,0,22.7,0.040000000000000036,2.0,1.899999976158142,1.5,5.0,37.0
